 ,names,degree,harmonic,eigenvector_centrality,betweenness
ENSG00000166226,CCT2,7,0.23727380952380983,0.9136482158433274,4475.416666666666
ENSG00000147419,CCDC25,6,0.2085292207792216,0.10632770165540288,2448.833333333332
ENSG00000071127,WDR1,6,0.22456944444444488,0.7344864966515628,3397.166666666667
ENSG00000161960,EIF4A1,6,0.24655555555555606,1.0,5708.33333333333
ENSG00000099910,KLHL22,6,0.22468885281385326,0.21097700533426175,3844.5833333333326
ENSG00000216937,CCDC7,5,0.21072889610389695,0.4416568910605764,1921.0000000000002
ENSG00000100084,HIRA,5,0.20866666666666744,0.11725076909665465,2106.0833333333317
ENSG00000198873,GRK5,5,0.2147460317460325,0.263075353627161,2549.0833333333335
ENSG00000197912,SPG7,5,0.17905283605283648,0.010248260473797467,1639.5833333333333
ENSG00000186314,PRELID2,5,0.19686580086580158,0.026591215762551256,2183.4166666666665
ENSG00000172869,DMXL1,5,0.18272678710178766,0.04194175488308738,2028.7499999999998
ENSG00000181555,SETD2,5,0.18669498556998604,0.021435045754818152,1561.3333333333335
ENSG00000158417,EIF5B,5,0.19683243145743223,0.44149818482191755,1174.0
ENSG00000120798,NR2C1,5,0.18356024531024587,0.007196542377046203,1318.5833333333335
ENSG00000123505,AMD1,5,0.18326875901875953,0.007800086560421057,1659.083333333333
ENSG00000197119,SLC25A29,4,0.20696031746031818,0.2579579013723217,1569.5000000000002
ENSG00000137876,RSL24D1,4,0.18494173881673936,0.11528083735850317,1272.3333333333333
ENSG00000120675,DNAJC15,4,0.20768452380952443,0.056598133651510826,2877.583333333333
ENSG00000198791,CNOT7,4,0.1809673520923525,0.010212072516619064,1515.9999999999998
ENSG00000196391,ZNF774,4,0.1738791486291488,0.015804979658020857,1031.1666666666667
ENSG00000140983,RHOT2,4,0.21805753968254038,0.4674461140727804,1476.8333333333342
ENSG00000178567,EPM2AIP1,4,0.21222276334776444,0.14425889287533428,2252.3333333333326
ENSG00000176407,KCMF1,4,0.17522016872016913,0.010219267936557632,1370.75
ENSG00000129197,RPAIN,4,0.19684361471861528,0.034270261668756505,2519.250000000002
ENSG00000180198,RCC1,4,0.1759356060606063,0.01426993429525218,1117.0833333333335
ENSG00000168397,ATG4B,4,0.19471699134199205,0.030571284030875365,1300.8333333333333
ENSG00000102547,CAB39L,4,0.20064935064935133,0.14661917064179095,1426.666666666667
ENSG00000090661,CERS4,4,0.18705212842712893,0.020809026748457554,1888.1666666666672
ENSG00000013364,MVP,4,0.18095887445887493,0.0048349393743262244,1462.5833333333335
ENSG00000165699,TSC1,4,0.18386634199134258,0.02354717209423139,1460.4166666666665
ENSG00000057294,PKP2,4,0.15969677544677538,0.0049119506205962974,718.9166666666667
ENSG00000155380,SLC16A1,4,0.17746951659451685,0.007639380020844127,962.7499999999999
ENSG00000260729,ENSG00000260729,4,0.16530368242868254,0.007455163249229142,1183.9166666666667
ENSG00000127314,RAP1B,4,0.17991437728937762,0.008402034712524228,1713.8333333333335
ENSG00000171858,RPS21,4,0.2214503968253973,0.4535564514632048,3025.4166666666674
ENSG00000169032,MAP2K1,4,0.17260406260406286,0.01849968372475718,991.7500000000001
