 ,names,degree,harmonic,eigenvector_centrality,betweenness
ENSG00000110693,SOX6,838,0.9645232815964523,1.0,143216.0806974634
ENSG00000181722,ZBTB20,701,0.8885809312638581,0.9021622374782196,74823.3883316716
ENSG00000258631,ENSG00000258631,693,0.8841463414634146,0.8960352024566072,71102.21015373676
ENSG00000078018,MAP2,581,0.8216925351071693,0.7649130287800677,44370.02516763983
ENSG00000170558,CDH2,443,0.7455654101995566,0.5092342666695638,35665.69465925655
ENSG00000109339,MAPK10,362,0.7006651884700665,0.48965014862539974,19374.94271115688
ENSG00000116729,WLS,263,0.6457871396895787,0.27639344417211037,11577.92758811403
ENSG00000178568,ERBB4,202,0.6119733924611973,0.2081905760698024,7034.281506280991
ENSG00000134532,SOX5,179,0.5968218773096827,0.2568123397771045,4110.659465534485
ENSG00000247809,NR2F2-AS1,93,0.5515521064301552,0.11753703767949687,2588.411376395296
ENSG00000215386,MIR99AHG,54,0.5275314116777529,0.10912321940248994,888.1074508824516
ENSG00000091656,ZFHX4,49,0.5247597930524757,0.11655863661119494,416.43803843215613
ENSG00000257060,ENSG00000257060,26,0.5120103473762008,0.08840771126298727,46.200000000000024
ENSG00000026025,VIM,25,0.5138580931263859,0.0652481209490471,1064.3796630106635
ENSG00000148516,ZEB1,24,0.5109016999260899,0.08610634244473159,38.000000000000014
ENSG00000269821,KCNQ1OT1,20,0.5086844050258682,0.0779274755913022,310.0342823842827
ENSG00000138722,MMRN1,9,0.5046193643754618,0.0697896883501165,30.714285714285698
ENSG00000100154,TTC28,7,0.5014781966001476,0.07481791190351894,0.6000000000000001
ENSG00000196220,SRGAP3,7,0.5014781966001476,0.0737984219613764,2.5583333333333336
ENSG00000033800,PIAS1,7,0.4944567627494446,0.03781036109549658,103.6231899012286
ENSG00000150471,ADGRL3,6,0.5009238728750921,0.07627449714959278,0.2
ENSG00000145147,SLIT2,6,0.5009238728750921,0.07259135727210426,11.993083387201057
ENSG00000170456,DENND5B,5,0.49334811529933376,0.04395454213035633,0.018867924528301886
ENSG00000171456,ASXL1,5,0.5027716186252772,0.05125553284532099,0.0
ENSG00000171735,CAMTA1,5,0.5003695491500367,0.07172921336550957,0.0
ENSG00000171574,ZNF584,5,0.5003695491500367,0.07172921336550957,0.0
ENSG00000170634,ACYP2,5,0.5003695491500367,0.07172921336550957,0.0
ENSG00000171533,MAP6,5,0.5003695491500367,0.07172921336550957,0.0
ENSG00000170776,AKAP13,5,0.5003695491500367,0.07172921336550957,0.0
ENSG00000170871,KIAA0232,5,0.5003695491500367,0.06760825127389766,0.0
ENSG00000170899,GSTA4,5,0.465631929046559,0.037361186137689635,0.05
ENSG00000171316,CHD7,5,0.5003695491500367,0.07172921336550957,0.0
ENSG00000171791,BCL2,5,0.49334811529933376,0.03644311313904073,0.041666666666666664
ENSG00000170919,TPT1-AS1,5,0.5003695491500367,0.07172921336550957,0.0
ENSG00000170921,TANC2,5,0.5003695491500367,0.07172921336550957,0.0
ENSG00000171016,PYGO1,5,0.5003695491500367,0.06760825127389766,0.0
ENSG00000172264,MACROD2,5,0.5003695491500367,0.06760825127389766,0.0
ENSG00000171132,PRKCE,5,0.5003695491500367,0.07172921336550957,0.0
ENSG00000171055,FEZ2,5,0.5003695491500367,0.07172921336550957,0.0
ENSG00000171681,ATF7IP,5,0.5024020694752401,0.07207582978685821,0.0
ENSG00000170242,USP47,5,0.5003695491500367,0.07172921336550957,0.0
ENSG00000170430,MGMT,5,0.5003695491500367,0.06760825127389766,0.0
ENSG00000169398,PTK2,5,0.5027716186252772,0.06110888155409112,0.23809523809523808
ENSG00000167552,TUBA1A,5,0.5003695491500367,0.06760825127389766,0.0
ENSG00000167693,NXN,5,0.5024020694752401,0.07207582978685821,0.0
ENSG00000167766,ZNF83,5,0.5024020694752401,0.07207582978685821,0.0
ENSG00000168016,TRANK1,5,0.5003695491500367,0.05114709135472747,0.0
ENSG00000168172,HOOK3,5,0.5024020694752401,0.07207582978685821,0.0
ENSG00000168300,PCMTD1,5,0.5003695491500367,0.054921490363123396,0.018867924528301886
