source,native,name,p_value
GO:BP,GO:0008150,biological_process,1.0613053164097038e-123
GO:BP,GO:0009987,cellular process,1.8510880950449053e-110
GO:BP,GO:0050789,regulation of biological process,4.1127373538211354e-88
GO:BP,GO:0065007,biological regulation,3.418853361718547e-86
GO:BP,GO:0050794,regulation of cellular process,1.1972366005393355e-85
GO:BP,GO:0048856,anatomical structure development,5.28708356943803e-59
GO:BP,GO:0032502,developmental process,8.890616938451804e-59
GO:BP,GO:0048731,system development,1.2040372618018971e-57
GO:BP,GO:0032501,multicellular organismal process,1.166788801619907e-56
GO:BP,GO:0007275,multicellular organism development,1.1477883670289895e-55
GO:BP,GO:0016043,cellular component organization,1.8396997548348347e-52
GO:BP,GO:0071840,cellular component organization or biogenesis,7.349620904168845e-50
GO:BP,GO:0050896,response to stimulus,7.852487355172621e-49
GO:BP,GO:0009653,anatomical structure morphogenesis,1.022639257151851e-46
GO:BP,GO:0048513,animal organ development,2.689801698649271e-46
GO:BP,GO:0007399,nervous system development,3.4460529861483124e-46
GO:BP,GO:0007154,cell communication,2.8491113052355533e-43
GO:BP,GO:0030154,cell differentiation,3.613279241892548e-43
GO:BP,GO:0048869,cellular developmental process,3.790865984325022e-43
GO:BP,GO:0023052,signaling,3.197093897516937e-42
GO:CC,GO:0005575,cellular_component,1.1888480539752311e-135
GO:CC,GO:0110165,cellular anatomical structure,5.653338937712802e-132
GO:CC,GO:0005622,intracellular anatomical structure,3.4503488219329448e-102
GO:CC,GO:0043226,organelle,9.260388621079305e-83
GO:CC,GO:0043229,intracellular organelle,3.6565869336128983e-75
GO:CC,GO:0005737,cytoplasm,2.548123616133133e-69
GO:CC,GO:0043227,membrane-bounded organelle,1.3414735886126747e-63
GO:CC,GO:0043231,intracellular membrane-bounded organelle,3.303559658810285e-51
GO:CC,GO:0005856,cytoskeleton,3.553001317738218e-35
GO:CC,GO:0043228,membraneless organelle,7.213460122369179e-34
GO:CC,GO:0043232,intracellular membraneless organelle,7.213460122369179e-34
GO:CC,GO:0120025,plasma membrane bounded cell projection,2.4515001352204106e-33
GO:CC,GO:0005634,nucleus,9.915068110421522e-33
GO:CC,GO:0042995,cell projection,3.2647897538072455e-32
GO:CC,GO:0030054,cell junction,1.1974715416591602e-26
GO:CC,GO:0005829,cytosol,1.772934940217314e-26
GO:CC,GO:0016020,membrane,4.108512796340506e-24
GO:CC,GO:0015630,microtubule cytoskeleton,1.3463913497281519e-22
GO:CC,GO:0043005,neuron projection,8.307277091591564e-20
GO:CC,GO:0045202,synapse,1.7280885211120828e-19
GO:MF,GO:0003674,molecular_function,4.283372636934059e-151
GO:MF,GO:0005488,binding,7.36256892789097e-129
GO:MF,GO:0005515,protein binding,1.749846787412329e-98
GO:MF,GO:0043167,ion binding,8.516257596908158e-33
GO:MF,GO:0036094,small molecule binding,2.481977412925395e-31
GO:MF,GO:0043169,cation binding,5.093440965272521e-24
GO:MF,GO:0046872,metal ion binding,2.8859699585977925e-23
GO:MF,GO:0140110,transcription regulator activity,1.2198743498734537e-18
GO:MF,GO:0003824,catalytic activity,1.6445920247311608e-18
GO:MF,GO:0003677,DNA binding,4.936646232070183e-18
GO:MF,GO:0140096,"catalytic activity, acting on a protein",1.5898620330773186e-14
GO:MF,GO:0003690,double-stranded DNA binding,7.951938238160032e-12
GO:MF,GO:0008092,cytoskeletal protein binding,1.0436589209922027e-11
GO:MF,GO:0043565,sequence-specific DNA binding,1.2471719794943266e-11
GO:MF,GO:0000976,transcription cis-regulatory region binding,6.119645648378404e-11
GO:MF,GO:0001067,transcription regulatory region nucleic acid binding,6.381824470755762e-11
GO:MF,GO:0019899,enzyme binding,1.189131495777828e-10
GO:MF,GO:1990837,sequence-specific double-stranded DNA binding,2.0029241459927917e-10
GO:MF,GO:0060090,molecular adaptor activity,2.4854432383652136e-09
GO:MF,GO:0003676,nucleic acid binding,2.593236616051145e-09
KEGG,KEGG:00000,KEGG root term,1.8110012371240383e-14
KEGG,KEGG:04360,Axon guidance,3.4794202572237695e-10
KEGG,KEGG:04310,Wnt signaling pathway,3.5733497107510087e-07
KEGG,KEGG:05226,Gastric cancer,3.886375325968446e-06
KEGG,KEGG:05210,Colorectal cancer,4.1620147781797316e-05
KEGG,KEGG:05200,Pathways in cancer,4.7601064331408656e-05
KEGG,KEGG:04390,Hippo signaling pathway,9.535052384354234e-05
KEGG,KEGG:04340,Hedgehog signaling pathway,0.00011812669514426275
KEGG,KEGG:01522,Endocrine resistance,0.00015659886450433903
KEGG,KEGG:04510,Focal adhesion,0.00020898127725160455
KEGG,KEGG:04012,ErbB signaling pathway,0.00021548897081141046
KEGG,KEGG:03083,Polycomb repressive complex,0.00024581554834840935
KEGG,KEGG:04010,MAPK signaling pathway,0.000433507324833382
KEGG,KEGG:05212,Pancreatic cancer,0.000642380804169517
KEGG,KEGG:05220,Chronic myeloid leukemia,0.000642380804169517
KEGG,KEGG:05224,Breast cancer,0.0006543560943014816
KEGG,KEGG:05225,Hepatocellular carcinoma,0.0007290191440748157
KEGG,KEGG:04933,AGE-RAGE signaling pathway in diabetic complications,0.0012846705895536812
KEGG,KEGG:04150,mTOR signaling pathway,0.0013999561560986314
KEGG,KEGG:04722,Neurotrophin signaling pathway,0.001516040751723139
