 ,names,degree,harmonic,eigenvector_centrality,betweenness
ENSG00000198947,DMD,180,0.3508064516129037,0.9999999999999999,11327.53701787157
ENSG00000255248,MIR100HG,152,0.31263440860215086,0.9363889225336821,4053.9622090343782
ENSG00000286757,ENSG00000286757,150,0.31347072879331045,0.9263343268414811,5273.5451431031925
ENSG00000243620,ENSG00000243620,113,0.26499402628434904,0.7565925466559623,1752.998670770032
ENSG00000242808,SOX2-OT,49,0.18467741935483817,0.34118253196231924,246.34285714285724
ENSG00000170959,DCDC1,35,0.17473118279569844,0.0289810088860706,3938.9250070282947
ENSG00000231028,AHI1-DT,27,0.16606929510155286,0.07523031306101238,1488.9932979788869
ENSG00000188596,CFAP54,20,0.15681003584229367,0.11814789318098322,135.50354683738738
ENSG00000168702,LRP1B,7,0.19091995221027475,0.17573319515756272,43.77409005619264
ENSG00000205835,GMNC,7,0.19091995221027475,0.17573319515756272,43.77409005619264
ENSG00000004866,ST7,5,0.18912783751493423,0.16725935878158382,5.574090056192699
ENSG00000165966,PDZRN4,5,0.18912783751493423,0.1578401828145159,12.159004511021024
ENSG00000170396,ZNF804A,5,0.18912783751493423,0.16725935878158382,5.574090056192699
ENSG00000169116,PARM1,5,0.18912783751493423,0.1578401828145159,12.159004511021024
ENSG00000163637,PRICKLE2,5,0.18912783751493423,0.16725935878158382,5.574090056192699
ENSG00000170927,PKHD1,5,0.18912783751493423,0.1578401828145159,12.159004511021024
ENSG00000172020,GAP43,5,0.18912783751493423,0.16725935878158382,5.574090056192699
ENSG00000173320,STOX2,5,0.18912783751493423,0.16725935878158382,5.574090056192699
ENSG00000178764,ZHX2,5,0.18912783751493423,0.16725935878158382,5.574090056192699
ENSG00000179603,GRM8,5,0.1786738351254477,0.10032507311767158,1.632074754121121
ENSG00000164830,OXR1,5,0.18912783751493423,0.16725935878158382,5.574090056192699
ENSG00000162946,DISC1,5,0.19295101553166064,0.15602769197704078,120.24551928214134
ENSG00000005108,THSD7A,5,0.18912783751493423,0.16725935878158382,5.574090056192699
ENSG00000181381,DDX60L,5,0.18912783751493423,0.1578401828145159,12.159004511021024
ENSG00000158445,KCNB1,5,0.18912783751493423,0.16725935878158382,5.574090056192699
ENSG00000156650,KAT6B,5,0.18912783751493423,0.16725935878158382,5.574090056192699
ENSG00000154153,RETREG1,5,0.18912783751493423,0.16725935878158382,5.574090056192699
ENSG00000151490,PTPRO,5,0.18912783751493423,0.16725935878158382,5.574090056192699
ENSG00000150630,VEGFC,5,0.18912783751493423,0.16725935878158382,5.574090056192699
ENSG00000147862,NFIB,5,0.18912783751493423,0.16725935878158382,5.574090056192699
ENSG00000144619,CNTN4,5,0.18912783751493423,0.16725935878158382,5.574090056192699
ENSG00000144285,SCN1A,5,0.18912783751493423,0.16725935878158382,5.574090056192699
ENSG00000137959,IFI44L,5,0.18912783751493423,0.16725935878158382,5.574090056192699
ENSG00000137509,PRCP,5,0.18912783751493423,0.16725935878158382,5.574090056192699
ENSG00000137177,KIF13A,5,0.18912783751493423,0.16725935878158382,5.574090056192699
ENSG00000134569,LRP4,5,0.18912783751493423,0.16725935878158382,5.574090056192699
ENSG00000126785,RHOJ,5,0.18912783751493423,0.15312367426888787,221.9691041751268
ENSG00000180357,ZNF609,5,0.18912783751493423,0.16725935878158382,5.574090056192699
ENSG00000185053,SGCZ,5,0.18912783751493423,0.1578401828145159,12.159004511021024
ENSG00000183049,CAMK1D,5,0.18912783751493423,0.16725935878158382,5.574090056192699
ENSG00000184005,ST6GALNAC3,5,0.18912783751493423,0.16725935878158382,5.574090056192699
ENSG00000288581,ENSG00000288581,5,0.19295101553166064,0.15602769197704078,120.24551928214134
ENSG00000287291,ENSG00000287291,5,0.18912783751493423,0.16725935878158382,5.574090056192699
ENSG00000285835,ENSG00000285835,5,0.18912783751493423,0.16725935878158382,5.574090056192699
ENSG00000285798,ENSG00000285798,5,0.18912783751493423,0.1578401828145159,12.159004511021024
ENSG00000274020,LINC01138,5,0.18912783751493423,0.16725935878158382,5.574090056192699
ENSG00000272568,CPVL-AS2,5,0.19295101553166064,0.15602769197704078,120.24551928214134
ENSG00000267586,LINC00907,5,0.18912783751493423,0.1578401828145159,12.159004511021024
ENSG00000256552,ENSG00000256552,5,0.18912783751493423,0.1578401828145159,12.159004511021024
ENSG00000255690,TRIL,5,0.18912783751493423,0.1578401828145159,12.159004511021024
ENSG00000253496,ENSG00000253496,5,0.18912783751493423,0.1578401828145159,12.159004511021024
ENSG00000250634,LINC01182,5,0.18912783751493423,0.16725935878158382,5.574090056192699
ENSG00000249464,LINC01091,5,0.18912783751493423,0.1578401828145159,12.159004511021024
ENSG00000245832,MIR4300HG,5,0.18912783751493423,0.16725935878158382,5.574090056192699
ENSG00000241956,LINC03000,5,0.18912783751493423,0.16725935878158382,5.574090056192699
ENSG00000241231,ENSG00000241231,5,0.18912783751493423,0.16725935878158382,5.574090056192699
ENSG00000237928,NFIA-AS2,5,0.19295101553166064,0.15602769197704078,120.24551928214134
ENSG00000231252,ENSG00000231252,5,0.18912783751493423,0.16725935878158382,5.574090056192699
ENSG00000227051,C14orf132,5,0.18912783751493423,0.16725935878158382,5.574090056192699
ENSG00000205978,NYNRIN,5,0.18912783751493423,0.16725935878158382,5.574090056192699
ENSG00000198929,NOS1AP,5,0.18912783751493423,0.16725935878158382,5.574090056192699
ENSG00000198797,BRINP2,5,0.18912783751493423,0.16725935878158382,5.574090056192699
ENSG00000196569,LAMA2,5,0.1786738351254477,0.10032507311767158,1.632074754121121
ENSG00000186094,AGBL4,5,0.18912783751493423,0.1578401828145159,12.159004511021024
ENSG00000185942,NKAIN3,5,0.18912783751493423,0.16725935878158382,5.574090056192699
ENSG00000115738,ID2,5,0.18912783751493423,0.16725935878158382,5.574090056192699
ENSG00000184838,PRR16,5,0.18912783751493423,0.16725935878158382,5.574090056192699
ENSG00000184305,CCSER1,5,0.18912783751493423,0.16725935878158382,5.574090056192699
ENSG00000121039,RDH10,5,0.18912783751493423,0.1578401828145159,12.159004511021024
ENSG00000163618,CADPS,5,0.18912783751493423,0.16725935878158382,5.574090056192699
ENSG00000101134,DOK5,5,0.18912783751493423,0.16725935878158382,5.574090056192699
ENSG00000038945,MSR1,5,0.18912783751493423,0.1578401828145159,12.159004511021024
ENSG00000086289,EPDR1,5,0.18912783751493423,0.16725935878158382,5.574090056192699
ENSG00000071051,NCK2,5,0.18912783751493423,0.16725935878158382,5.574090056192699
ENSG00000108375,RNF43,5,0.18912783751493423,0.1578401828145159,12.159004511021024
ENSG00000049540,ELN,5,0.18912783751493423,0.16725935878158382,5.574090056192699
ENSG00000102935,ZNF423,5,0.18912783751493423,0.16725935878158382,5.574090056192699
ENSG00000103064,SLC7A6,5,0.18912783751493423,0.1578401828145159,12.159004511021024
ENSG00000048740,CELF2,5,0.18912783751493423,0.15312367426888787,221.96910417512697
ENSG00000153234,NR4A2,4,0.19175627240143361,0.12407535322255996,95.6597928496783
ENSG00000169908,TM4SF1,4,0.18793309438470723,0.1528505731194,1.9691041751266762
ENSG00000182132,KCNIP1,4,0.18793309438470723,0.1528505731194,1.9691041751266762
ENSG00000137502,RAB30,4,0.18793309438470723,0.1528505731194,1.9691041751266762
ENSG00000139970,RTN1,4,0.18793309438470723,0.1528505731194,1.9691041751266762
ENSG00000176601,MAP3K19,4,0.1856929510155316,0.04851150773334978,267.0673664416432
ENSG00000140287,HDC,4,0.18793309438470723,0.1528505731194,1.9691041751266762
ENSG00000141338,ABCA8,4,0.18793309438470723,0.1528505731194,1.9691041751266762
ENSG00000175267,VWA3A,4,0.19892473118279563,0.08575379537281115,530.9942129689003
ENSG00000173114,LRRN3,4,0.18793309438470723,0.1528505731194,1.9691041751266762
ENSG00000172575,RASGRP1,4,0.18793309438470723,0.1528505731194,1.9691041751266762
ENSG00000091157,WDR7,4,0.18793309438470723,0.1528505731194,1.9691041751266762
ENSG00000171189,GRIK1,4,0.18793309438470723,0.1528505731194,1.9691041751266762
ENSG00000099250,NRP1,4,0.18793309438470723,0.1528505731194,1.9691041751266762
ENSG00000123684,LPGAT1,4,0.18793309438470723,0.1528505731194,1.9691041751266762
ENSG00000154856,APCDD1,4,0.18793309438470723,0.1528505731194,1.9691041751266762
ENSG00000168646,AXIN2,4,0.18793309438470723,0.1528505731194,1.9691041751266762
ENSG00000168056,LTBP3,4,0.18793309438470723,0.1528505731194,1.9691041751266762
ENSG00000135960,EDAR,4,0.18793309438470723,0.1528505731194,1.9691041751266762
ENSG00000183023,SLC8A1,4,0.18793309438470723,0.1528505731194,1.9691041751266762
ENSG00000166833,NAV2,4,0.18793309438470723,0.1528505731194,1.9691041751266762
ENSG00000165566,AMER2,4,0.18793309438470723,0.1528505731194,1.9691041751266762
ENSG00000164287,CDC20B,4,0.1983273596176821,0.04671625918115637,523.1241510744863
ENSG00000163491,NEK10,4,0.19892473118279563,0.08756628621028617,488.9578880776382
ENSG00000143473,KCNH1,4,0.18793309438470723,0.1528505731194,1.9691041751266762
ENSG00000162599,NFIA,4,0.18793309438470723,0.1528505731194,1.9691041751266762
ENSG00000152583,SPARCL1,4,0.18793309438470723,0.1528505731194,1.9691041751266762
ENSG00000156427,FGF18,4,0.18793309438470723,0.1528505731194,1.9691041751266762
ENSG00000182168,UNC5C,4,0.18793309438470723,0.1528505731194,1.9691041751266762
ENSG00000182103,FAM181B,4,0.18793309438470723,0.1528505731194,1.9691041751266762
ENSG00000248138,ENSG00000248138,4,0.18793309438470723,0.1528505731194,1.9691041751266762
ENSG00000206120,EGFEM1P,4,0.18793309438470723,0.1528505731194,1.9691041751266762
ENSG00000112964,GHR,4,0.18793309438470723,0.1528505731194,1.9691041751266762
ENSG00000251003,ZFPM2-AS1,4,0.18793309438470723,0.1528505731194,1.9691041751266762
ENSG00000250131,AGA-DT,4,0.18793309438470723,0.1528505731194,1.9691041751266762
ENSG00000076356,PLXNA2,4,0.18793309438470723,0.1528505731194,1.9691041751266762
ENSG00000246090,ENSG00000246090,4,0.18793309438470723,0.1528505731194,1.9691041751266762
ENSG00000009709,PAX7,4,0.18793309438470723,0.1528505731194,1.9691041751266762
ENSG00000232973,CYP1B1-AS1,4,0.18793309438470723,0.1528505731194,1.9691041751266762
ENSG00000229195,ENSG00000229195,4,0.18793309438470723,0.1528505731194,1.9691041751266762
ENSG00000226965,ENSG00000226965,4,0.18793309438470723,0.1528505731194,1.9691041751266762
ENSG00000251620,STPG2-AS1,4,0.18793309438470723,0.1528505731194,1.9691041751266762
ENSG00000069667,RORA,4,0.19175627240143361,0.12407535322255996,95.6597928496783
ENSG00000187323,DCC,4,0.18793309438470723,0.1528505731194,1.9691041751266762
ENSG00000205683,DPF3,4,0.18793309438470723,0.1528505731194,1.9691041751266762
ENSG00000118432,CNR1,4,0.18793309438470723,0.1528505731194,1.9691041751266762
ENSG00000197826,CFAP299,4,0.19892473118279563,0.08756628621028617,488.9578880776382
ENSG00000116016,EPAS1,4,0.18793309438470723,0.1528505731194,1.9691041751266762
ENSG00000287117,ENSG00000287117,4,0.19175627240143361,0.12407535322255996,95.6597928496783
ENSG00000189045,ANKDD1B,4,0.1856929510155316,0.04851150773334978,267.0673664416432
ENSG00000007001,UPP2,3,0.1905615292712066,0.08452987238088215,63.889098207968374
ENSG00000253693,ENSG00000253693,3,0.1867383512544802,0.12089823436491917,1.133186999088076
ENSG00000162753,SLC9C2,3,0.1971326164874551,0.04663293918414698,303.1241510744853
ENSG00000044115,CTNNA1,3,0.1867383512544802,0.12089823436491917,1.133186999088076
ENSG00000006756,ARSD,3,0.1905615292712066,0.08452987238088215,63.889098207968374
ENSG00000255920,CCND2-AS1,3,0.1867383512544802,0.12089823436491917,1.133186999088076
ENSG00000259986,ENSG00000259986,3,0.1867383512544802,0.12089823436491917,1.133186999088076
ENSG00000148848,ADAM12,3,0.1867383512544802,0.12089823436491917,1.133186999088076
ENSG00000147642,SYBU,3,0.1847968936678613,0.08199934459929181,137.82759677160476
ENSG00000162944,RFTN2,3,0.1867383512544802,0.12089823436491917,1.133186999088076
ENSG00000285971,ENSG00000285971,3,0.18539426523297484,0.11372971693073593,0.8714292082030219
ENSG00000008513,ST3GAL1,3,0.1867383512544802,0.12089823436491917,1.133186999088076
ENSG00000183690,EFHC2,3,0.1971326164874551,0.04663293918414698,303.1241510744853
ENSG00000163347,CLDN1,3,0.1867383512544802,0.12089823436491917,1.133186999088076
ENSG00000163453,IGFBP7,3,0.1867383512544802,0.12089823436491917,1.133186999088076
ENSG00000164056,SPRY1,3,0.1867383512544802,0.12089823436491917,1.133186999088076
ENSG00000164946,FREM1,3,0.1867383512544802,0.12089823436491917,1.133186999088076
