 ,names,degree,harmonic,eigenvector_centrality,betweenness
ENSG00000114346,ECT2,33,0.17943805874840374,1.0,412.712110041146
ENSG00000113810,SMC4,31,0.17560664112388266,0.9497745534237226,454.6139074255815
ENSG00000138182,KIF20B,31,0.1800127713920818,0.6036298119876713,449.6681682409415
ENSG00000156970,BUB1B,29,0.1755427841634739,0.5490448756333575,432.15131074720443
ENSG00000011426,ANLN,24,0.1683908045977012,0.8744922708525372,366.4324750495694
ENSG00000122966,CIT,19,0.14859514687100908,0.6997287334832142,66.51850323232603
ENSG00000169679,BUB1,17,0.132567049808429,0.22372368214822816,117.33229867305452
ENSG00000126787,DLGAP5,14,0.12522349936143023,0.22072145179005123,37.41082989750037
ENSG00000164104,HMGB2,10,0.10957854406130259,0.2884194964926641,72.95000000000002
ENSG00000035499,DEPDC1B,9,0.11277139208173675,0.15912425178464562,17.9556501864052
ENSG00000118193,KIF14,8,0.1273307790549169,0.23411035871768907,59.45151673135159
ENSG00000182010,RTKN2,6,0.123052362707535,0.3472905631221659,12.604095428852142
ENSG00000129534,MIS18BP1,6,0.10676883780332044,0.12155706821309155,25.585856252601154
ENSG00000136108,CKAP2,5,0.11985951468710077,0.33240882798815463,10.893316798946694
ENSG00000198901,PRC1,5,0.11985951468710077,0.31158639594523146,34.14164502164502
ENSG00000166004,CEP295,5,0.11985951468710077,0.33240882798815463,10.893316798946694
ENSG00000100526,CDKN3,5,0.12241379310344817,0.2734333487021764,24.89851780201744
ENSG00000163808,KIF15,5,0.118199233716475,0.14448267298285386,21.786903729822733
ENSG00000100629,CEP128,5,0.11985951468710077,0.3375418636052756,0.0
ENSG00000157456,CCNB2,5,0.13020434227330782,0.22644584698784442,25.388083548778987
ENSG00000137812,KNL1,5,0.1201787994891442,0.2573461924830889,46.86575449425417
ENSG00000139734,DIAPH3,5,0.129757343550447,0.2811047966803924,21.378940848944175
ENSG00000152253,SPC25,5,0.11985951468710077,0.33240882798815463,10.893316798946694
ENSG00000102384,CENPI,5,0.11985951468710077,0.33240882798815463,10.893316798946694
ENSG00000169607,CKAP2L,5,0.12209450830140474,0.32767355216431915,11.013298404850126
ENSG00000138180,CEP55,5,0.13020434227330782,0.22644584698784442,25.388083548778987
ENSG00000111247,RAD51AP1,5,0.12292464878671765,0.1923050143314186,185.49473231848557
ENSG00000109805,NCAPG,5,0.12911877394636012,0.34675407796241114,8.83101187453464
ENSG00000174799,CEP135,5,0.12113665389527448,0.3178599020631543,10.937428762185478
ENSG00000137804,NUSAP1,5,0.12911877394636012,0.34675407796241114,8.83101187453464
ENSG00000090889,KIF4A,5,0.12924648786717752,0.21370906825230018,23.61574660512185
ENSG00000158402,CDC25C,5,0.11985951468710077,0.33240882798815463,10.893316798946694
ENSG00000156787,TBC1D31,5,0.129757343550447,0.2843803223731964,21.157319571019574
ENSG00000136122,BORA,5,0.11985951468710077,0.33240882798815463,10.893316798946694
ENSG00000161800,RACGAP1,5,0.12209450830140474,0.32767355216431915,11.013298404850126
ENSG00000285077,ARHGAP11B,5,0.12911877394636012,0.34675407796241114,8.83101187453464
ENSG00000237649,KIFC1,5,0.129757343550447,0.2843803223731964,21.157319571019574
ENSG00000075218,GTSE1,5,0.11564495530012761,0.15312892897909436,7.564286151017561
ENSG00000010292,NCAPD2,5,0.12943805874840356,0.3598923758318259,11.210381255796577
ENSG00000121621,KIF18A,5,0.11724137931034473,0.14602464844489663,20.251413190443873
ENSG00000143815,LBR,5,0.11985951468710077,0.33240882798815463,10.893316798946694
ENSG00000080986,NDC80,5,0.11564495530012761,0.15312892897909436,7.564286151017561
ENSG00000284906,ENSG00000284906,5,0.129757343550447,0.2843803223731964,21.157319571019574
ENSG00000183856,IQGAP3,5,0.129757343550447,0.2897510526766327,23.900208668996044
ENSG00000109674,NEIL3,5,0.11564495530012761,0.15312892897909436,7.564286151017561
ENSG00000175216,CKAP5,4,0.11187739463601526,0.25616084693095703,6.112037663987918
ENSG00000138160,KIF11,4,0.11309067688378023,0.13925470351111152,3.8943461344406467
ENSG00000178295,GEN1,4,0.11309067688378023,0.1338839732076752,5.156524855173513
ENSG00000164611,PTTG1,4,0.12669220945083012,0.17857399646133149,22.622841934935177
ENSG00000186185,KIF18B,4,0.11309067688378023,0.13925470351111152,3.8943461344406467
ENSG00000138778,CENPE,4,0.09936143039591308,0.07764486923596259,6.8289206769872814
ENSG00000066279,ASPM,4,0.11309067688378023,0.13925470351111152,3.8943461344406467
ENSG00000134690,CDCA8,4,0.11309067688378023,0.13925470351111152,3.8943461344406467
ENSG00000142945,KIF2C,3,0.11053639846743284,0.12000974773969235,2.2366983991670897
ENSG00000119787,ATL2,3,0.11053639846743284,0.12000974773969235,2.2366983991670897
ENSG00000146263,MMS22L,3,0.07343550446998717,0.002150539842171592,72.05142857142857
ENSG00000133119,RFC3,3,0.08263090676883779,0.007522349083363407,93.00259740259735
ENSG00000171848,RRM2,3,0.11424010217113653,0.11727031816622926,61.01853075382487
ENSG00000165304,MELK,3,0.11213282247764995,0.11110172384554201,6.8854936435150345
ENSG00000144554,FANCD2,2,0.08837803320561942,0.016954802123797096,105.04883116883127
ENSG00000136492,BRIP1,2,0.10644955300127706,0.08346781157632724,146.95116883116887
ENSG00000154920,EME1,2,0.12177522349936137,0.1354431029019679,3.1587198774175613
ENSG00000188486,H2AX,2,0.10702426564495518,0.1005030240703632,0.15489439018850784
ENSG00000131747,TOP2A,2,0.085632183908046,0.04960588294624268,0.375
ENSG00000123219,CENPK,1,0.06236088305053815,0.0006558822182095912,0.0
ENSG00000213390,ARHGAP19,1,0.07423827768655349,0.025147625700178915,0.0
ENSG00000163535,SGO2,1,0.08398102536033572,0.019506723669329134,0.0
ENSG00000144395,CCDC150,1,0.056777960226236004,0.00018750802793120118,0.0
ENSG00000172244,C5orf34,1,0.10191570881226043,0.047871850526513,0.0
ENSG00000168298,H1-4,0,0.0,-0.0,0.0
ENSG00000170037,CNTROB,0,0.0,-0.0,0.0
ENSG00000168676,KCTD19,0,0.0,-0.0,0.0
ENSG00000168393,DTYMK,0,0.0,-0.0,0.0
ENSG00000170312,CDK1,0,0.0,-0.0,0.0
ENSG00000004897,CDC27,0,0.0,-0.0,0.0
ENSG00000168078,PBK,0,0.0,-0.0,0.0
ENSG00000163507,CIP2A,0,0.0,-0.0,0.0
ENSG00000160298,C21orf58,0,0.0,-0.0,0.0
ENSG00000160299,PCNT,0,0.0,-0.0,0.0
ENSG00000161692,DBF4B,0,0.0,-0.0,0.0
ENSG00000161888,SPC24,0,0.0,-0.0,0.0
ENSG00000162063,CCNF,0,0.0,-0.0,0.0
ENSG00000162775,RBM15,0,0.0,-0.0,0.0
ENSG00000163072,NOSTRIN,0,0.0,-0.0,0.0
ENSG00000164087,POC1A,0,0.0,-0.0,0.0
ENSG00000166881,NEMP1,0,0.0,-0.0,0.0
ENSG00000164109,MAD2L1,0,0.0,-0.0,0.0
ENSG00000164118,CEP44,0,0.0,-0.0,0.0
ENSG00000164754,RAD21,0,0.0,-0.0,0.0
ENSG00000170540,ARL6IP1,0,0.0,-0.0,0.0
ENSG00000166130,IKBIP,0,0.0,-0.0,0.0
ENSG00000166845,C18orf54,0,0.0,-0.0,0.0
ENSG00000166851,PLK1,0,0.0,-0.0,0.0
ENSG00000164949,GEM,0,0.0,-0.0,0.0
ENSG00000176890,TYMS,0,0.0,-0.0,0.0
ENSG00000170734,POLH,0,0.0,-0.0,0.0
ENSG00000170759,KIF5B,0,0.0,-0.0,0.0
ENSG00000198826,ARHGAP11A,0,0.0,-0.0,0.0
ENSG00000198830,HMGN2,0,0.0,-0.0,0.0
ENSG00000203760,CENPW,0,0.0,-0.0,0.0
ENSG00000204899,MZT1,0,0.0,-0.0,0.0
ENSG00000205476,CCDC85C,0,0.0,-0.0,0.0
ENSG00000213066,CEP43,0,0.0,-0.0,0.0
ENSG00000213186,TRIM59,0,0.0,-0.0,0.0
ENSG00000213347,MXD3,0,0.0,-0.0,0.0
ENSG00000213551,DNAJC9,0,0.0,-0.0,0.0
ENSG00000224699,LAMTOR5-AS1,0,0.0,-0.0,0.0
ENSG00000224905,ENSG00000224905,0,0.0,-0.0,0.0
ENSG00000227598,ENSG00000227598,0,0.0,-0.0,0.0
ENSG00000232593,KANTR,0,0.0,-0.0,0.0
ENSG00000234129,HCCS-DT,0,0.0,-0.0,0.0
ENSG00000248710,TRIM59-IFT80,0,0.0,-0.0,0.0
ENSG00000253100,ENSG00000253100,0,0.0,-0.0,0.0
ENSG00000258101,ENSG00000258101,0,0.0,-0.0,0.0
ENSG00000259732,ENSG00000259732,0,0.0,-0.0,0.0
ENSG00000261775,ENSG00000261775,0,0.0,-0.0,0.0
