 ,names,degree,harmonic,eigenvector_centrality,betweenness
ENSG00000000003,TSPAN6,0,0.0,1.0,0.0
ENSG00000188343,CIBAR1,0,0.0,1.0,0.0
ENSG00000188315,C3orf62,0,0.0,1.0,0.0
ENSG00000188290,HES4,0,0.0,1.0,0.0
ENSG00000188283,ZNF383,0,0.0,1.0,0.0
ENSG00000188243,COMMD6,0,0.0,1.0,0.0
ENSG00000188234,AGAP4,0,0.0,1.0,0.0
ENSG00000188223,ENSG00000188223,0,0.0,1.0,0.0
ENSG00000188211,NCR3LG1,0,0.0,1.0,0.0
ENSG00000188185,LINC00265,0,0.0,1.0,0.0
ENSG00000188157,AGRN,0,0.0,1.0,0.0
ENSG00000188130,MAPK12,0,0.0,1.0,0.0
ENSG00000188107,EYS,0,0.0,1.0,0.0
ENSG00000188092,GPR89B,0,0.0,1.0,0.0
ENSG00000188070,ZFTA,0,0.0,1.0,0.0
ENSG00000188064,WNT7B,0,0.0,1.0,0.0
ENSG00000188033,ZNF490,0,0.0,1.0,0.0
ENSG00000188021,UBQLN2,0,0.0,1.0,0.0
ENSG00000188010,MORN2,0,0.0,1.0,0.0
ENSG00000188002,PDCD6P1,0,0.0,1.0,0.0
ENSG00000188001,TPRG1,0,0.0,1.0,0.0
ENSG00000187987,ZSCAN23,0,0.0,1.0,0.0
ENSG00000187954,ZFTRAF1,0,0.0,1.0,0.0
ENSG00000188321,ZNF559,0,0.0,1.0,0.0
ENSG00000188393,CLEC2A,0,0.0,1.0,0.0
ENSG00000187866,PABIR1,0,0.0,1.0,0.0
ENSG00000188419,CHM,0,0.0,1.0,0.0
ENSG00000188938,FAM120AOS,0,0.0,1.0,0.0
ENSG00000188921,HACD4,0,0.0,1.0,0.0
ENSG00000188917,TRMT2B,0,0.0,1.0,0.0
ENSG00000188916,INSYN2A,0,0.0,1.0,0.0
ENSG00000188897,ENSG00000188897,0,0.0,1.0,0.0
ENSG00000188895,MSL1,0,0.0,1.0,0.0
ENSG00000188878,FBF1,0,0.0,1.0,0.0
ENSG00000188827,SLX4,0,0.0,1.0,0.0
ENSG00000188811,NHLRC3,0,0.0,1.0,0.0
ENSG00000188786,MTF1,0,0.0,1.0,0.0
ENSG00000188785,ZNF548,0,0.0,1.0,0.0
ENSG00000188747,NOXA1,0,0.0,1.0,0.0
ENSG00000188730,VWC2,0,0.0,1.0,0.0
ENSG00000188706,ZDHHC9,0,0.0,1.0,0.0
ENSG00000188636,RTL6,0,0.0,1.0,0.0
ENSG00000188629,ZNF177,0,0.0,1.0,0.0
ENSG00000188554,NBR1,0,0.0,1.0,0.0
ENSG00000188523,CFAP77,0,0.0,1.0,0.0
ENSG00000188501,LCTL,0,0.0,1.0,0.0
ENSG00000188467,SLC24A5,0,0.0,1.0,0.0
ENSG00000188428,BLOC1S5,0,0.0,1.0,0.0
ENSG00000187953,PMS2CL,0,0.0,1.0,0.0
ENSG00000187838,PLSCR3,0,0.0,1.0,0.0
ENSG00000188993,LRRC66,0,0.0,1.0,0.0
ENSG00000187122,SLIT1,0,0.0,1.0,0.0
ENSG00000187105,HEATR4,0,0.0,1.0,0.0
ENSG00000187097,ENTPD5,0,0.0,1.0,0.0
ENSG00000187068,C3orf70,0,0.0,1.0,0.0
ENSG00000187049,TMEM216,0,0.0,1.0,0.0
ENSG00000187037,GPR141,0,0.0,1.0,0.0
ENSG00000187024,PTRH1,0,0.0,1.0,0.0
ENSG00000186973,CFAP144,0,0.0,1.0,0.0
ENSG00000186918,ZNF395,0,0.0,1.0,0.0
ENSG00000186908,ZDHHC17,0,0.0,1.0,0.0
ENSG00000186868,MAPT,0,0.0,1.0,0.0
ENSG00000186866,POFUT2,0,0.0,1.0,0.0
ENSG00000186814,ZSCAN30,0,0.0,1.0,0.0
ENSG00000186812,ZNF397,0,0.0,1.0,0.0
ENSG00000186787,SPIN2B,0,0.0,1.0,0.0
ENSG00000186767,SPIN4,0,0.0,1.0,0.0
ENSG00000186684,CYP27C1,0,0.0,1.0,0.0
ENSG00000186666,BCDIN3D,0,0.0,1.0,0.0
ENSG00000186654,PRR5,0,0.0,1.0,0.0
ENSG00000186638,KIF24,0,0.0,1.0,0.0
ENSG00000186615,KTN1-AS1,0,0.0,1.0,0.0
ENSG00000186591,UBE2H,0,0.0,1.0,0.0
ENSG00000187118,CMC1,0,0.0,1.0,0.0
ENSG00000187144,SPATA21,0,0.0,1.0,0.0
ENSG00000187815,ZFP69,0,0.0,1.0,0.0
ENSG00000187187,ZNF546,0,0.0,1.0,0.0
ENSG00000187801,ZFP69B,0,0.0,1.0,0.0
ENSG00000187792,ZNF70,0,0.0,1.0,0.0
ENSG00000187753,C9orf153,0,0.0,1.0,0.0
ENSG00000187742,SECISBP2,0,0.0,1.0,0.0
ENSG00000187735,TCEA1,0,0.0,1.0,0.0
ENSG00000187699,C2orf88,0,0.0,1.0,0.0
ENSG00000187676,B3GLCT,0,0.0,1.0,0.0
ENSG00000187672,ERC2,0,0.0,1.0,0.0
ENSG00000187630,DHRS4L2,0,0.0,1.0,0.0
ENSG00000187626,ZKSCAN4,0,0.0,1.0,0.0
ENSG00000187624,LIAT1,0,0.0,1.0,0.0
ENSG00000187608,ISG15,0,0.0,1.0,0.0
ENSG00000187605,TET3,0,0.0,1.0,0.0
ENSG00000187601,MAGEH1,0,0.0,1.0,0.0
ENSG00000187595,ZNF385C,0,0.0,1.0,0.0
ENSG00000187372,PCDHB13,0,0.0,1.0,0.0
ENSG00000187325,TAF9B,0,0.0,1.0,0.0
ENSG00000187258,NPSR1,0,0.0,1.0,0.0
ENSG00000187257,RSBN1L,0,0.0,1.0,0.0
ENSG00000187239,FNBP1,0,0.0,1.0,0.0
ENSG00000187189,TSPYL4,0,0.0,1.0,0.0
ENSG00000188992,LIPI,0,0.0,1.0,0.0
ENSG00000188997,KCTD21,0,0.0,1.0,0.0
ENSG00000186532,SMYD4,0,0.0,1.0,0.0
ENSG00000196826,ENSG00000196826,0,0.0,1.0,0.0
ENSG00000196810,CTBP1-DT,0,0.0,1.0,0.0
ENSG00000196792,STRN3,0,0.0,1.0,0.0
ENSG00000196767,POU3F4,0,0.0,1.0,0.0
ENSG00000196757,ZNF700,0,0.0,1.0,0.0
ENSG00000196704,AMZ2,0,0.0,1.0,0.0
ENSG00000196696,PDXDC2P-NPIPB14P,0,0.0,1.0,0.0
ENSG00000196689,TRPV1,0,0.0,1.0,0.0
ENSG00000196678,ERI2,0,0.0,1.0,0.0
ENSG00000196670,ZFP62,0,0.0,1.0,0.0
ENSG00000196668,LINC00173,0,0.0,1.0,0.0
ENSG00000196663,TECPR2,0,0.0,1.0,0.0
ENSG00000196659,IFT70B,0,0.0,1.0,0.0
ENSG00000196653,ZNF502,0,0.0,1.0,0.0
ENSG00000196652,ZKSCAN5,0,0.0,1.0,0.0
ENSG00000196646,ZNF136,0,0.0,1.0,0.0
ENSG00000196632,WNK3,0,0.0,1.0,0.0
ENSG00000196597,ZNF782,0,0.0,1.0,0.0
ENSG00000196588,MRTFA,0,0.0,1.0,0.0
ENSG00000196576,PLXNB2,0,0.0,1.0,0.0
ENSG00000196562,SULF2,0,0.0,1.0,0.0
ENSG00000196557,CACNA1H,0,0.0,1.0,0.0
ENSG00000196812,ZSCAN16,0,0.0,1.0,0.0
ENSG00000196839,ADA,0,0.0,1.0,0.0
ENSG00000196526,AFAP1,0,0.0,1.0,0.0
ENSG00000196866,H2AC7,0,0.0,1.0,0.0
ENSG00000197102,DYNC1H1,0,0.0,1.0,0.0
ENSG00000197093,GAL3ST4,0,0.0,1.0,0.0
ENSG00000197085,NPSR1-AS1,0,0.0,1.0,0.0
ENSG00000197077,KIAA1671,0,0.0,1.0,0.0
ENSG00000197070,ARRDC1,0,0.0,1.0,0.0
ENSG00000197062,ZSCAN26,0,0.0,1.0,0.0
ENSG00000197061,H4C3,0,0.0,1.0,0.0
ENSG00000197054,ZNF763,0,0.0,1.0,0.0
ENSG00000197050,ZNF420,0,0.0,1.0,0.0
ENSG00000197021,EOLA2,0,0.0,1.0,0.0
ENSG00000197013,ZNF429,0,0.0,1.0,0.0
ENSG00000197006,METTL9,0,0.0,1.0,0.0
ENSG00000196981,WDR5B,0,0.0,1.0,0.0
ENSG00000196975,ANXA4,0,0.0,1.0,0.0
ENSG00000196968,FUT11,0,0.0,1.0,0.0
ENSG00000196967,ZNF585A,0,0.0,1.0,0.0
ENSG00000196951,SCOC-AS1,0,0.0,1.0,0.0
ENSG00000196937,FAM3C,0,0.0,1.0,0.0
ENSG00000196923,PDLIM7,0,0.0,1.0,0.0
ENSG00000196911,KPNA5,0,0.0,1.0,0.0
ENSG00000196867,ZFP28,0,0.0,1.0,0.0
ENSG00000196547,MAN2A2,0,0.0,1.0,0.0
ENSG00000196507,TCEAL3,0,0.0,1.0,0.0
ENSG00000189050,RNFT1,0,0.0,1.0,0.0
ENSG00000196151,WDSUB1,0,0.0,1.0,0.0
ENSG00000196132,MYT1,0,0.0,1.0,0.0
ENSG00000196123,MATCAP1,0,0.0,1.0,0.0
ENSG00000196116,TDRD7,0,0.0,1.0,0.0
ENSG00000196110,ZNF699,0,0.0,1.0,0.0
ENSG00000196083,IL1RAP,0,0.0,1.0,0.0
ENSG00000196074,SYCP2,0,0.0,1.0,0.0
ENSG00000189376,C8orf76,0,0.0,1.0,0.0
ENSG00000189367,KIAA0408,0,0.0,1.0,0.0
ENSG00000189366,ALG1L1P,0,0.0,1.0,0.0
ENSG00000189339,SLC35E2B,0,0.0,1.0,0.0
ENSG00000189319,FAM53B,0,0.0,1.0,0.0
ENSG00000189298,ZKSCAN3,0,0.0,1.0,0.0
ENSG00000189221,MAOA,0,0.0,1.0,0.0
ENSG00000189212,DPY19L2P1,0,0.0,1.0,0.0
ENSG00000189164,ZNF527,0,0.0,1.0,0.0
ENSG00000189157,FAM47E,0,0.0,1.0,0.0
