 ,names,degree,harmonic,eigenvector_centrality,betweenness
ENSG00000001626,CFTR,0,0.0,1.0,0.0
ENSG00000156395,SORCS3,0,0.0,1.0,0.0
ENSG00000170962,PDGFD,0,0.0,1.0,0.0
ENSG00000171033,PKIA,0,0.0,1.0,0.0
ENSG00000171094,ALK,0,0.0,1.0,0.0
ENSG00000171310,CHST11,0,0.0,1.0,0.0
ENSG00000171385,KCND3,0,0.0,1.0,0.0
ENSG00000171587,DSCAM,0,0.0,1.0,0.0
ENSG00000171867,PRNP,0,0.0,1.0,0.0
ENSG00000171914,TLN2,0,0.0,1.0,0.0
ENSG00000171984,SHLD1,0,0.0,1.0,0.0
ENSG00000171988,JMJD1C,0,0.0,1.0,0.0
ENSG00000172260,NEGR1,0,0.0,1.0,0.0
ENSG00000172292,CERS6,0,0.0,1.0,0.0
ENSG00000172348,RCAN2,0,0.0,1.0,0.0
ENSG00000173406,DAB1,0,0.0,1.0,0.0
ENSG00000174132,FAM174A,0,0.0,1.0,0.0
ENSG00000174482,LINGO2,0,0.0,1.0,0.0
ENSG00000175445,LPL,0,0.0,1.0,0.0
ENSG00000175582,RAB6A,0,0.0,1.0,0.0
ENSG00000175806,MSRA,0,0.0,1.0,0.0
ENSG00000179104,TMTC2,0,0.0,1.0,0.0
ENSG00000180116,REDIC1,0,0.0,1.0,0.0
ENSG00000180616,SSTR2,0,0.0,1.0,0.0
ENSG00000181804,SLC9A9,0,0.0,1.0,0.0
ENSG00000183662,TAFA1,0,0.0,1.0,0.0
ENSG00000183715,OPCML,0,0.0,1.0,0.0
ENSG00000184792,OSBP2,0,0.0,1.0,0.0
ENSG00000184898,RBM43,0,0.0,1.0,0.0
ENSG00000170915,PAQR8,0,0.0,1.0,0.0
ENSG00000170624,SGCD,0,0.0,1.0,0.0
ENSG00000170485,NPAS2,0,0.0,1.0,0.0
ENSG00000164161,HHIP,0,0.0,1.0,0.0
ENSG00000156925,ZIC3,0,0.0,1.0,0.0
ENSG00000157680,DGKI,0,0.0,1.0,0.0
ENSG00000160179,ABCG1,0,0.0,1.0,0.0
ENSG00000160445,ZER1,0,0.0,1.0,0.0
ENSG00000161048,NAPEPLD,0,0.0,1.0,0.0
ENSG00000162434,JAK1,0,0.0,1.0,0.0
ENSG00000162552,WNT4,0,0.0,1.0,0.0
ENSG00000162631,NTNG1,0,0.0,1.0,0.0
ENSG00000163359,COL6A3,0,0.0,1.0,0.0
ENSG00000163393,SLC22A15,0,0.0,1.0,0.0
ENSG00000163406,SLC15A2,0,0.0,1.0,0.0
ENSG00000164136,IL15,0,0.0,1.0,0.0
ENSG00000164627,KIF6,0,0.0,1.0,0.0
ENSG00000169891,REPS2,0,0.0,1.0,0.0
ENSG00000165084,C8orf34,0,0.0,1.0,0.0
ENSG00000165105,RASEF,0,0.0,1.0,0.0
ENSG00000165675,ENOX2,0,0.0,1.0,0.0
ENSG00000165973,NELL1,0,0.0,1.0,0.0
ENSG00000167889,MGAT5B,0,0.0,1.0,0.0
ENSG00000168038,ULK4,0,0.0,1.0,0.0
ENSG00000168528,SERINC2,0,0.0,1.0,0.0
ENSG00000168917,SLC35G2,0,0.0,1.0,0.0
ENSG00000168959,GRM5,0,0.0,1.0,0.0
ENSG00000169062,UPF3A,0,0.0,1.0,0.0
ENSG00000169181,GSG1L,0,0.0,1.0,0.0
ENSG00000169855,ROBO1,0,0.0,1.0,0.0
ENSG00000185046,ANKS1B,0,0.0,1.0,0.0
ENSG00000185737,NRG3,0,0.0,1.0,0.0
ENSG00000186951,PPARA,0,0.0,1.0,0.0
ENSG00000269113,TRABD2B,0,0.0,1.0,0.0
ENSG00000253394,LINC00534,0,0.0,1.0,0.0
ENSG00000254101,LINC02055,0,0.0,1.0,0.0
ENSG00000254180,ENSG00000254180,0,0.0,1.0,0.0
ENSG00000255102,ENSG00000255102,0,0.0,1.0,0.0
ENSG00000257923,CUX1,0,0.0,1.0,0.0
ENSG00000258561,ENSG00000258561,0,0.0,1.0,0.0
ENSG00000259200,ENSG00000259200,0,0.0,1.0,0.0
ENSG00000260372,AQP4-AS1,0,0.0,1.0,0.0
ENSG00000262198,ENSG00000262198,0,0.0,1.0,0.0
ENSG00000263745,ENSG00000263745,0,0.0,1.0,0.0
ENSG00000265533,DSEL-AS1,0,0.0,1.0,0.0
ENSG00000267575,LINC02987,0,0.0,1.0,0.0
ENSG00000280128,ENSG00000280128,0,0.0,1.0,0.0
ENSG00000248636,PRKAB1-AS1,0,0.0,1.0,0.0
ENSG00000283378,CNTNAP3C,0,0.0,1.0,0.0
ENSG00000284762,PDE8B,0,0.0,1.0,0.0
ENSG00000284862,CCDC39,0,0.0,1.0,0.0
ENSG00000284959,TSHR-AS1,0,0.0,1.0,0.0
ENSG00000285570,ENSG00000285570,0,0.0,1.0,0.0
ENSG00000285733,ENSG00000285733,0,0.0,1.0,0.0
ENSG00000285999,ENSG00000285999,0,0.0,1.0,0.0
ENSG00000286592,LINC02885,0,0.0,1.0,0.0
ENSG00000286724,ENSG00000286724,0,0.0,1.0,0.0
ENSG00000287249,ENSG00000287249,0,0.0,1.0,0.0
ENSG00000290873,LINC03009,0,0.0,1.0,0.0
ENSG00000290957,ENSG00000290957,0,0.0,1.0,0.0
ENSG00000250722,SELENOP,0,0.0,1.0,0.0
ENSG00000245685,FRG1-DT,0,0.0,1.0,0.0
ENSG00000187391,MAGI2,0,0.0,1.0,0.0
ENSG00000198513,ATL1,0,0.0,1.0,0.0
ENSG00000187860,CCDC157,0,0.0,1.0,0.0
ENSG00000187957,DNER,0,0.0,1.0,0.0
ENSG00000188158,NHS,0,0.0,1.0,0.0
ENSG00000188227,ZNF793,0,0.0,1.0,0.0
ENSG00000188559,RALGAPA2,0,0.0,1.0,0.0
ENSG00000196277,GRM7,0,0.0,1.0,0.0
ENSG00000196605,ZNF846,0,0.0,1.0,0.0
ENSG00000197182,MIRLET7BHG,0,0.0,1.0,0.0
ENSG00000197584,KCNMB2,0,0.0,1.0,0.0
ENSG00000198040,ZNF84,0,0.0,1.0,0.0
ENSG00000198121,LPAR1,0,0.0,1.0,0.0
ENSG00000198216,CACNA1E,0,0.0,1.0,0.0
ENSG00000198879,SFMBT2,0,0.0,1.0,0.0
ENSG00000241962,ENSG00000241962,0,0.0,1.0,0.0
ENSG00000204347,BTBD17,0,0.0,1.0,0.0
ENSG00000215421,ZNF407,0,0.0,1.0,0.0
ENSG00000223685,LINC00571,0,0.0,1.0,0.0
ENSG00000223813,PRR15-DT,0,0.0,1.0,0.0
ENSG00000223935,LGALSL-DT,0,0.0,1.0,0.0
ENSG00000225361,PPP1R26-AS1,0,0.0,1.0,0.0
ENSG00000226149,ENSG00000226149,0,0.0,1.0,0.0
ENSG00000229127,KANSL1L-AS1,0,0.0,1.0,0.0
ENSG00000230124,ACBD6,0,0.0,1.0,0.0
ENSG00000230333,ENSG00000230333,0,0.0,1.0,0.0
ENSG00000233611,GBX2-AS1,0,0.0,1.0,0.0
ENSG00000236107,SCN1A-AS1,0,0.0,1.0,0.0
ENSG00000156475,PPP2R2B,0,0.0,1.0,0.0
ENSG00000155970,MICU3,0,0.0,1.0,0.0
ENSG00000002587,HS3ST1,0,0.0,1.0,0.0
ENSG00000155530,LRGUK,0,0.0,1.0,0.0
ENSG00000100599,RIN3,0,0.0,1.0,0.0
ENSG00000102904,TSNAXIP1,0,0.0,1.0,0.0
ENSG00000103544,VPS35L,0,0.0,1.0,0.0
ENSG00000104313,EYA1,0,0.0,1.0,0.0
ENSG00000105877,DNAH11,0,0.0,1.0,0.0
ENSG00000106052,TAX1BP1,0,0.0,1.0,0.0
ENSG00000106723,SPIN1,0,0.0,1.0,0.0
ENSG00000107338,SHB,0,0.0,1.0,0.0
ENSG00000108018,SORCS1,0,0.0,1.0,0.0
ENSG00000109819,PPARGC1A,0,0.0,1.0,0.0
ENSG00000110076,NRXN2,0,0.0,1.0,0.0
ENSG00000110975,SYT10,0,0.0,1.0,0.0
ENSG00000111052,LIN7A,0,0.0,1.0,0.0
ENSG00000111817,DSE,0,0.0,1.0,0.0
ENSG00000112149,CD83,0,0.0,1.0,0.0
ENSG00000113163,CERT1,0,0.0,1.0,0.0
ENSG00000113580,NR3C1,0,0.0,1.0,0.0
ENSG00000114923,SLC4A3,0,0.0,1.0,0.0
ENSG00000115170,ACVR1,0,0.0,1.0,0.0
ENSG00000115756,HPCAL1,0,0.0,1.0,0.0
ENSG00000115841,RMDN2,0,0.0,1.0,0.0
ENSG00000115963,RND3,0,0.0,1.0,0.0
ENSG00000116874,WARS2,0,0.0,1.0,0.0
ENSG00000118007,STAG1,0,0.0,1.0,0.0
ENSG00000118263,KLF7,0,0.0,1.0,0.0
ENSG00000119715,ESRRB,0,0.0,1.0,0.0
ENSG00000121067,SPOP,0,0.0,1.0,0.0
ENSG00000100239,PPP6R2,0,0.0,1.0,0.0
ENSG00000100095,SEZ6L,0,0.0,1.0,0.0
ENSG00000091428,RAPGEF4,0,0.0,1.0,0.0
ENSG00000074410,CA12,0,0.0,1.0,0.0
ENSG00000005810,MYCBP2,0,0.0,1.0,0.0
ENSG00000011566,MAP4K3,0,0.0,1.0,0.0
ENSG00000018625,ATP1A2,0,0.0,1.0,0.0
ENSG00000019485,PRDM11,0,0.0,1.0,0.0
ENSG00000031081,ARHGAP31,0,0.0,1.0,0.0
ENSG00000038002,AGA,0,0.0,1.0,0.0
ENSG00000043355,ZIC2,0,0.0,1.0,0.0
ENSG00000052795,FNIP2,0,0.0,1.0,0.0
ENSG00000061337,LZTS1,0,0.0,1.0,0.0
ENSG00000064692,SNCAIP,0,0.0,1.0,0.0
ENSG00000068784,SRBD1,0,0.0,1.0,0.0
ENSG00000071909,MYO3B,0,0.0,1.0,0.0
ENSG00000074706,IPCEF1,0,0.0,1.0,0.0
ENSG00000088727,KIF9,0,0.0,1.0,0.0
ENSG00000075035,WSCD2,0,0.0,1.0,0.0
ENSG00000075240,GRAMD4,0,0.0,1.0,0.0
ENSG00000075391,RASAL2,0,0.0,1.0,0.0
ENSG00000076770,MBNL3,0,0.0,1.0,0.0
ENSG00000079308,TNS1,0,0.0,1.0,0.0
ENSG00000079931,MOXD1,0,0.0,1.0,0.0
