source,native,name,p_value
GO:BP,GO:0009987,cellular process,7.488260857674327e-15
GO:BP,GO:0008150,biological_process,2.217757788864747e-14
GO:BP,GO:0007154,cell communication,3.0774716875105457e-12
GO:BP,GO:0023052,signaling,2.0701716597418892e-11
GO:BP,GO:0050789,regulation of biological process,5.107028387962319e-11
GO:BP,GO:0032502,developmental process,3.669914319371313e-10
GO:BP,GO:0065007,biological regulation,4.2480837877622514e-10
GO:BP,GO:0048856,anatomical structure development,1.1392823993078516e-09
GO:BP,GO:0032501,multicellular organismal process,1.7558356247363395e-09
GO:BP,GO:0007275,multicellular organism development,2.4604945558850036e-09
GO:BP,GO:0048731,system development,6.465562281076731e-09
GO:BP,GO:0050794,regulation of cellular process,3.8610592842306804e-08
GO:BP,GO:0007165,signal transduction,6.470972645458008e-08
GO:BP,GO:0051716,cellular response to stimulus,1.7678622312738253e-07
GO:BP,GO:0007399,nervous system development,2.3137106048623073e-07
GO:BP,GO:0030154,cell differentiation,7.573656236145713e-07
GO:BP,GO:0048869,cellular developmental process,7.659390440326662e-07
GO:BP,GO:0023051,regulation of signaling,8.980800659184726e-07
GO:BP,GO:0010646,regulation of cell communication,9.553016629624574e-07
GO:BP,GO:0050896,response to stimulus,1.4299908334447892e-06
GO:CC,GO:0005575,cellular_component,5.641214716408295e-16
GO:CC,GO:0110165,cellular anatomical structure,2.5696818592691957e-15
GO:CC,GO:0005886,plasma membrane,1.1440771652576822e-13
GO:CC,GO:0071944,cell periphery,8.012659847629143e-12
GO:CC,GO:0016020,membrane,3.174240344504518e-11
GO:CC,GO:0005737,cytoplasm,2.332422772196267e-10
GO:CC,GO:0005622,intracellular anatomical structure,1.0529406871035138e-08
GO:CC,GO:0042995,cell projection,3.5537084502502186e-08
GO:CC,GO:0120025,plasma membrane bounded cell projection,6.116613798262954e-08
GO:CC,GO:0043226,organelle,6.81570525877026e-08
GO:CC,GO:0045202,synapse,1.984504259463553e-07
GO:CC,GO:0030054,cell junction,3.162005101771134e-07
GO:CC,GO:0043005,neuron projection,3.474947574043323e-06
GO:CC,GO:0036477,somatodendritic compartment,1.1850561975890363e-05
GO:CC,GO:0030425,dendrite,1.9242131115312956e-05
GO:CC,GO:0097447,dendritic tree,1.9776880968927343e-05
GO:CC,GO:0043229,intracellular organelle,4.576844303699381e-05
GO:CC,GO:0012505,endomembrane system,6.45857562716365e-05
GO:CC,GO:0097060,synaptic membrane,6.477748515374467e-05
GO:CC,GO:0098984,neuron to neuron synapse,0.00012589171136060732
GO:MF,GO:0005488,binding,6.039765999324139e-18
GO:MF,GO:0003674,molecular_function,2.1679094761340297e-17
GO:MF,GO:0005515,protein binding,5.807868690587993e-15
GO:MF,GO:0036094,small molecule binding,1.766495600077413e-05
GO:MF,GO:0043167,ion binding,5.075375851079724e-05
GO:MF,GO:0098772,molecular function regulator activity,0.0002996762120845458
GO:MF,GO:0030234,enzyme regulator activity,0.00248476161446196
GO:MF,GO:0019899,enzyme binding,0.00583173641842692
GO:MF,GO:0005096,GTPase activator activity,0.010333718814675754
GO:MF,GO:0017111,ribonucleoside triphosphate phosphatase activity,0.011104541653902154
GO:MF,GO:0046872,metal ion binding,0.015880974797355642
GO:MF,GO:0003824,catalytic activity,0.01594427490416002
GO:MF,GO:0003924,GTPase activity,0.01805584212768858
GO:MF,GO:0008047,enzyme activator activity,0.01806278074243643
GO:MF,GO:0016462,pyrophosphatase activity,0.024540737472101823
GO:MF,GO:0016818,"hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides",0.024871590718098167
GO:MF,GO:0016817,"hydrolase activity, acting on acid anhydrides",0.024871590718098167
GO:MF,GO:0043169,cation binding,0.029482820111440242
GO:MF,GO:0003707,nuclear steroid receptor activity,0.03772508255988468
GO:MF,GO:0060589,nucleoside-triphosphatase regulator activity,0.043450814891655844
KEGG,KEGG:00000,KEGG root term,0.00011261629555371729
KEGG,KEGG:04550,Signaling pathways regulating pluripotency of stem cells,0.01017663016569456
