source,native,name,p_value
GO:BP,GO:0009987,cellular process,2.3086385308031014e-30
GO:BP,GO:0008150,biological_process,2.309860118881895e-30
GO:BP,GO:0050789,regulation of biological process,3.8168141971672052e-19
GO:BP,GO:0065007,biological regulation,3.918666749006086e-18
GO:BP,GO:0007154,cell communication,1.579512112803864e-17
GO:BP,GO:0023052,signaling,1.70904028253123e-16
GO:BP,GO:0032502,developmental process,3.757917392626467e-15
GO:BP,GO:0050794,regulation of cellular process,6.711818327756265e-15
GO:BP,GO:0032501,multicellular organismal process,1.714368460248001e-14
GO:BP,GO:0048856,anatomical structure development,2.7897349062054848e-14
GO:BP,GO:0007275,multicellular organism development,2.590676198653573e-13
GO:BP,GO:0048731,system development,1.775115049413451e-12
GO:BP,GO:0051716,cellular response to stimulus,5.349657946409012e-12
GO:BP,GO:0007165,signal transduction,6.417616644789626e-12
GO:BP,GO:0050896,response to stimulus,2.1470286359540527e-11
GO:BP,GO:0030154,cell differentiation,4.6122439097686287e-10
GO:BP,GO:0048869,cellular developmental process,4.670298263504886e-10
GO:BP,GO:0007399,nervous system development,5.816616827988114e-10
GO:BP,GO:0023051,regulation of signaling,1.1934306161783945e-09
GO:BP,GO:0010646,regulation of cell communication,1.2772198577160148e-09
GO:CC,GO:0005575,cellular_component,1.5452068574338e-33
GO:CC,GO:0110165,cellular anatomical structure,6.073307037906295e-32
GO:CC,GO:0005737,cytoplasm,1.0634726224165176e-18
GO:CC,GO:0005886,plasma membrane,1.5741262342797434e-18
GO:CC,GO:0016020,membrane,7.11258882007467e-18
GO:CC,GO:0005622,intracellular anatomical structure,3.1046215381649357e-17
GO:CC,GO:0071944,cell periphery,1.500485081664193e-16
GO:CC,GO:0043226,organelle,2.24456858998413e-15
GO:CC,GO:0043229,intracellular organelle,1.1458386841608771e-10
GO:CC,GO:0042995,cell projection,1.1830381078245559e-10
GO:CC,GO:0120025,plasma membrane bounded cell projection,2.566372769976351e-10
GO:CC,GO:0043227,membrane-bounded organelle,5.402421351280792e-10
GO:CC,GO:0030054,cell junction,1.507000217710097e-09
GO:CC,GO:0045202,synapse,2.108843092245531e-09
GO:CC,GO:0043231,intracellular membrane-bounded organelle,3.7697561520214364e-08
GO:CC,GO:0043005,neuron projection,8.406378746998895e-08
GO:CC,GO:0012505,endomembrane system,1.046568790397364e-07
GO:CC,GO:0036477,somatodendritic compartment,6.39112934583279e-07
GO:CC,GO:0030425,dendrite,1.548945307632086e-06
GO:CC,GO:0097447,dendritic tree,1.5936968021324852e-06
GO:MF,GO:0003674,molecular_function,1.6072314380096496e-37
GO:MF,GO:0005488,binding,9.565884210825217e-37
GO:MF,GO:0005515,protein binding,1.8527613230005202e-28
GO:MF,GO:0036094,small molecule binding,3.224604241934553e-09
GO:MF,GO:0043167,ion binding,1.481677231745975e-08
GO:MF,GO:0098772,molecular function regulator activity,5.92031643174292e-06
GO:MF,GO:0003824,catalytic activity,2.227545257583076e-05
GO:MF,GO:0046872,metal ion binding,0.0001131817204448904
GO:MF,GO:0030234,enzyme regulator activity,0.00014128949772220176
GO:MF,GO:0019899,enzyme binding,0.00017773689080765977
GO:MF,GO:0043169,cation binding,0.00023389485646206412
GO:MF,GO:0017111,ribonucleoside triphosphate phosphatase activity,0.0008256283085201569
GO:MF,GO:0016462,pyrophosphatase activity,0.0019405096005001173
GO:MF,GO:0016817,"hydrolase activity, acting on acid anhydrides",0.001968795500999917
GO:MF,GO:0016818,"hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides",0.001968795500999917
GO:MF,GO:0003924,GTPase activity,0.0022385043022683385
GO:MF,GO:0005096,GTPase activator activity,0.002557850325666821
GO:MF,GO:0008047,enzyme activator activity,0.002881743678441857
GO:MF,GO:0140677,molecular function activator activity,0.00634133981272675
GO:MF,GO:0038023,signaling receptor activity,0.006679071650439641
KEGG,KEGG:00000,KEGG root term,2.7517195142301072e-08
KEGG,KEGG:04550,Signaling pathways regulating pluripotency of stem cells,0.0039807700261221945
KEGG,KEGG:00532,Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate,0.0380378479976341
KEGG,KEGG:04072,Phospholipase D signaling pathway,0.04082293490310437
KEGG,KEGG:04024,cAMP signaling pathway,0.04695718523479996
