 ,names,degree,harmonic,eigenvector_centrality,betweenness
ENSG00000000005,TNMD,2,0.0,0.002969729665529895,0.0
ENSG00000260520,ENSG00000260520,2,0.0,0.0040100819003521734,0.0
ENSG00000260645,ENSG00000260645,2,0.0,0.003101128271695766,0.0
ENSG00000260646,ENSG00000260646,2,0.0,0.8009813955118846,0.0
ENSG00000260647,ENSG00000260647,2,0.0,0.0,0.0
ENSG00000260650,ENSG00000260650,2,0.0,0.005453828915474054,0.0
ENSG00000260657,ENSG00000260657,2,0.0,0.0,0.0
ENSG00000260661,ENSG00000260661,2,0.0,0.0023398433900939375,0.0
ENSG00000260669,ENSG00000260669,2,0.0,0.0,0.0
ENSG00000260672,ENSG00000260672,2,0.0,0.0018147193976606499,0.0
ENSG00000260689,HNRNPA3P11,2,0.0,0.0,0.0
ENSG00000260691,ANKRD20A1,2,0.0,0.021680365732423334,0.0
ENSG00000260694,ENSG00000260694,2,0.0,0.0,0.0
ENSG00000260698,ENSG00000260698,2,0.0,0.0,0.0
ENSG00000260701,ENSG00000260701,2,0.0,0.0,0.0
ENSG00000260706,ENSG00000260706,2,0.0,0.0,0.0
ENSG00000260708,TBC1D22A-DT,2,0.0,0.003210804924979793,0.0
ENSG00000260710,UBE2I-AS1,2,0.0,0.0018224799612847626,0.0
ENSG00000260714,ENSG00000260714,2,0.0,0.11758836491585765,0.0
ENSG00000260725,ENSG00000260725,2,0.0,0.0033922595654329374,0.0
ENSG00000260727,SLC7A5P1,2,0.0,0.0007296058568807717,0.0
ENSG00000260733,WWOX-AS2,2,0.0,0.0,0.0
ENSG00000260737,LINC01227,2,0.0,0.005062531660037584,0.0
ENSG00000260740,ENSG00000260740,2,0.0,0.0016740603415920897,0.0
ENSG00000260742,ITPRID2-DT,2,0.0,0.0,0.0
ENSG00000260743,ENSG00000260743,2,0.0,0.0001757255748434502,0.0
ENSG00000260744,ENSG00000260744,2,0.0,0.0,0.0
ENSG00000260643,ENSG00000260643,2,0.0,0.001192975888491338,0.0
ENSG00000260641,TSPAN5-DT,2,0.0,0.0011284860263885757,0.0
ENSG00000260640,ENSG00000260640,2,0.0,0.0,0.0
ENSG00000260585,ENSG00000260585,2,0.0,0.0017006570748147954,0.0
ENSG00000260528,FAM157C,2,0.0,0.01061937041843667,0.0
ENSG00000260537,ENSG00000260537,2,0.0,0.011870789782061618,0.0
ENSG00000260545,ENSG00000260545,2,0.0,1.0831658896127589e-05,0.0
ENSG00000260552,COSMOC,2,0.0,0.004200413664382858,0.0
ENSG00000260558,ENSG00000260558,2,0.0,0.000584543743392282,0.0
ENSG00000260563,ENSG00000260563,2,0.0,0.007562441849629721,0.0
ENSG00000260572,PPM1L-DT,2,0.0,0.0,0.0
ENSG00000260573,ENSG00000260573,2,0.0,0.0036429903145703143,0.0
ENSG00000260577,CDH3-AS1,2,0.0,0.0,0.0
ENSG00000260578,ENSG00000260578,2,0.0,0.0,0.0
ENSG00000260583,ENSG00000260583,2,0.0,0.0,0.0
