 ,names,degree,harmonic,eigenvector_centrality,betweenness
ENSG00000112972,HMGCS1,8,0.0196078431372549,0.9999999999999999,27.0
ENSG00000099194,SCD,2,0.012254901960784314,0.5000000000000001,0.0
ENSG00000149485,FADS1,2,0.012254901960784314,0.49999999999999994,0.0
ENSG00000134824,FADS2,1,0.011029411764705881,0.33333333333333337,0.0
ENSG00000165392,WRN,1,0.011029411764705881,0.33333333333333337,0.0
ENSG00000250337,PURPL,1,0.0024509803921568627,-0.0,0.0
ENSG00000079459,FDFT1,1,0.011029411764705881,0.33333333333333337,0.0
ENSG00000144331,ZNF385B,1,0.0024509803921568627,1.0213775272688118e-17,0.0
ENSG00000197756,RPL37A,1,0.011029411764705881,0.33333333333333337,0.0
ENSG00000152270,PDE3B,1,0.011029411764705881,0.33333333333333337,0.0
ENSG00000102780,DGKH,1,0.011029411764705881,0.33333333333333337,0.0
ENSG00000168137,SETD5,0,0.0,-0.0,0.0
ENSG00000167904,TMEM68,0,0.0,-0.0,0.0
ENSG00000171488,LRRC8C,0,0.0,-0.0,0.0
ENSG00000171004,HS6ST2,0,0.0,-0.0,0.0
ENSG00000170836,PPM1D,0,0.0,-0.0,0.0
ENSG00000170525,PFKFB3,0,0.0,-0.0,0.0
ENSG00000170522,ELOVL6,0,0.0,-0.0,0.0
ENSG00000167508,MVD,0,0.0,-0.0,0.0
ENSG00000167601,AXL,0,0.0,-0.0,0.0
ENSG00000170322,NFRKB,0,0.0,-0.0,0.0
ENSG00000169621,APLF,0,0.0,-0.0,0.0
ENSG00000169071,ROR2,0,0.0,-0.0,0.0
ENSG00000168952,STXBP6,0,0.0,-0.0,0.0
ENSG00000168672,LRATD2,0,0.0,-0.0,0.0
ENSG00000171724,VAT1L,0,0.0,-0.0,0.0
ENSG00000168566,SNRNP48,0,0.0,-0.0,0.0
ENSG00000168477,TNXB,0,0.0,-0.0,0.0
ENSG00000168209,DDIT4,0,0.0,-0.0,0.0
ENSG00000167615,LENG8,0,0.0,-0.0,0.0
ENSG00000168615,ADAM9,0,0.0,-0.0,0.0
ENSG00000001630,CYP51A1,0,0.0,-0.0,0.0
ENSG00000172123,SLFN12,0,0.0,-0.0,0.0
ENSG00000175161,CADM2,0,0.0,-0.0,0.0
ENSG00000179833,SERTAD2,0,0.0,-0.0,0.0
ENSG00000179299,NSUN7,0,0.0,-0.0,0.0
ENSG00000178234,GALNT11,0,0.0,-0.0,0.0
ENSG00000177707,NECTIN3,0,0.0,-0.0,0.0
ENSG00000177469,CAVIN1,0,0.0,-0.0,0.0
ENSG00000177103,DSCAML1,0,0.0,-0.0,0.0
ENSG00000176244,ACBD7,0,0.0,-0.0,0.0
ENSG00000175866,BAIAP2,0,0.0,-0.0,0.0
ENSG00000175352,NRIP3,0,0.0,-0.0,0.0
ENSG00000175183,CSRP2,0,0.0,-0.0,0.0
ENSG00000175104,TRAF6,0,0.0,-0.0,0.0
ENSG00000167216,KATNAL2,0,0.0,-0.0,0.0
ENSG00000175093,SPSB4,0,0.0,-0.0,0.0
ENSG00000174738,NR1D2,0,0.0,-0.0,0.0
ENSG00000174721,FGFBP3,0,0.0,-0.0,0.0
ENSG00000173933,RBM4,0,0.0,-0.0,0.0
ENSG00000173867,ENSG00000173867,0,0.0,-0.0,0.0
ENSG00000173757,STAT5B,0,0.0,-0.0,0.0
ENSG00000173715,TOP6BL,0,0.0,-0.0,0.0
ENSG00000172965,MIR4435-2HG,0,0.0,-0.0,0.0
ENSG00000172728,FUT10,0,0.0,-0.0,0.0
